paper,full_paper_name,year_published,journal,authors,doi,abstract,arxiv_url,pdf_url,primary_category,pdf_path,dataset_name,dataset_type,official_path,events_total (from text),events_used (from text),collision_energy_tev,generator,size_bytes,luminosity,shortened_paper_name,notes
2312.06909,Pre-training strategy using real particle collision data for event classification in collider physics,2023,,Tomoe Kishimoto; Masahiro Morinaga; Masahiko Saito; Junichi Tanaka,,"This study aims to improve the performance of event classification in collider physics by introducing a pre-training strategy. Event classification is a typical problem in collider physics, where the goal is to distinguish the signal events of interest from background events as much as possible to search for new phenomena in nature. A pre-training strategy with feasibility to efficiently train the target event classification using a small amount of training data has been proposed. Real particle collision data were used in the pre-training phase as a novelty, where a self-supervised learning technique to handle the unlabeled data was employed. The ability to use real data in the pre-training phase eliminates the need to generate a large amount of training data by simulation and mitigates bias in the choice of physics processes in the training data. Our experiments using CMS open data confirmed that high event classification performance can be achieved by introducing a pre-trained model. This pre-training strategy provides a potential approach to save computational resources for future collider experiments and introduces a foundation model for event classification.",http://arxiv.org/abs/2312.06909,https://arxiv.org/pdf/2312.06909v1,hep-ex,pdfs\2312.06909.pdf,Single Electron primary dataset in AOD format from RunD of 2015,data,/SingleElectron/Run2015D-08Jun2016-v1/AOD,,1000000,13,,,,Pre-training CMS Open Data Classification,"Used for pre-training phase; events with at least one loose lepton pT>10 GeV, two b-jets pT>20 GeV, two light-jets pT>20 GeV; approximately 10^6 events for training, 10^5 for validation, 10^5 for testing; CERN Open Data Portal record 24103"
2312.06909,Pre-training strategy using real particle collision data for event classification in collider physics,2023,,Tomoe Kishimoto; Masahiro Morinaga; Masahiko Saito; Junichi Tanaka,,"This study aims to improve the performance of event classification in collider physics by introducing a pre-training strategy. Event classification is a typical problem in collider physics, where the goal is to distinguish the signal events of interest from background events as much as possible to search for new phenomena in nature. A pre-training strategy with feasibility to efficiently train the target event classification using a small amount of training data has been proposed. Real particle collision data were used in the pre-training phase as a novelty, where a self-supervised learning technique to handle the unlabeled data was employed. The ability to use real data in the pre-training phase eliminates the need to generate a large amount of training data by simulation and mitigates bias in the choice of physics processes in the training data. Our experiments using CMS open data confirmed that high event classification performance can be achieved by introducing a pre-trained model. This pre-training strategy provides a potential approach to save computational resources for future collider experiments and introduces a foundation model for event classification.",http://arxiv.org/abs/2312.06909,https://arxiv.org/pdf/2312.06909v1,hep-ex,pdfs\2312.06909.pdf,Single Muon primary dataset in AOD format from RunD of 2015,data,/SingleMuon/Run2015D-16Dec2015-v1/AOD,,1000000,13,,,,Pre-training CMS Open Data Classification,"Used for pre-training phase; events with at least one loose lepton pT>10 GeV, two b-jets pT>20 GeV, two light-jets pT>20 GeV; approximately 10^6 events for training, 10^5 for validation, 10^5 for testing; CERN Open Data Portal record 24102"
2312.06909,Pre-training strategy using real particle collision data for event classification in collider physics,2023,,Tomoe Kishimoto; Masahiro Morinaga; Masahiko Saito; Junichi Tanaka,,"This study aims to improve the performance of event classification in collider physics by introducing a pre-training strategy. Event classification is a typical problem in collider physics, where the goal is to distinguish the signal events of interest from background events as much as possible to search for new phenomena in nature. A pre-training strategy with feasibility to efficiently train the target event classification using a small amount of training data has been proposed. Real particle collision data were used in the pre-training phase as a novelty, where a self-supervised learning technique to handle the unlabeled data was employed. The ability to use real data in the pre-training phase eliminates the need to generate a large amount of training data by simulation and mitigates bias in the choice of physics processes in the training data. Our experiments using CMS open data confirmed that high event classification performance can be achieved by introducing a pre-trained model. This pre-training strategy provides a potential approach to save computational resources for future collider experiments and introduces a foundation model for event classification.",http://arxiv.org/abs/2312.06909,https://arxiv.org/pdf/2312.06909v1,hep-ex,pdfs\2312.06909.pdf,Two-Higgs-doublet model signal events,mc,,,500000,13,"MadGraph5_aMC@NLO, Pythia8, Delphes",,,Pre-training CMS Open Data Classification,"Signal events for event classification task; approximately 5×10^5 training, 5×10^4 validation, 5×10^4 test events; includes H0, A and H± bosons; detector simulation with Delphes"
2312.06909,Pre-training strategy using real particle collision data for event classification in collider physics,2023,,Tomoe Kishimoto; Masahiro Morinaga; Masahiko Saito; Junichi Tanaka,,"This study aims to improve the performance of event classification in collider physics by introducing a pre-training strategy. Event classification is a typical problem in collider physics, where the goal is to distinguish the signal events of interest from background events as much as possible to search for new phenomena in nature. A pre-training strategy with feasibility to efficiently train the target event classification using a small amount of training data has been proposed. Real particle collision data were used in the pre-training phase as a novelty, where a self-supervised learning technique to handle the unlabeled data was employed. The ability to use real data in the pre-training phase eliminates the need to generate a large amount of training data by simulation and mitigates bias in the choice of physics processes in the training data. Our experiments using CMS open data confirmed that high event classification performance can be achieved by introducing a pre-trained model. This pre-training strategy provides a potential approach to save computational resources for future collider experiments and introduces a foundation model for event classification.",http://arxiv.org/abs/2312.06909,https://arxiv.org/pdf/2312.06909v1,hep-ex,pdfs\2312.06909.pdf,Standard Model top-pair production background events,mc,,,500000,13,"MadGraph5_aMC@NLO, Pythia8, Delphes",,,Pre-training CMS Open Data Classification,"Background events for event classification task; approximately 5×10^5 training, 5×10^4 validation, 5×10^4 test events; detector simulation with Delphes"
1904.11195,Search for Non-Standard Sources of Parity Violation in Jets at $\sqrt s$=8 TeV with CMS Open Data,2019,JHEP12(2019)120,Christopher G. Lester; Matthias Schott,10.1007/JHEP12(2019)120,"The Standard Model violates parity, but only by mechanisms which are invisible to Large Hadron Collider (LHC) experiments (on account of the lack of initial state polarisation or spin-sensitivity in the detectors). Nonetheless, new physical processes could potentially violate parity in ways which are detectable by those same experiments. If those sources of new physics occur only at LHC energies, they are untested by direct searches. We probe the feasibility of such measurements using approximately 0.2 inverse femtobarns of data which was recorded in 2012 by the CMS collaboration and made public within the CMS Open Data initiative. In particular, we test an inclusive three-jet event selection which is primarily sensitive to non-standard parity violating effects in quark-gluon interactions. Within our measurements, no significant deviation from the Standard Model is seen and no obvious experimental limitations have been found. We discuss other ways that searches for non-standard parity violation could be performed, noting that these would be sensitive to very different sorts of models to those which our measurements constrain. We hope that our initial studies provide a valuable starting point for rigorous future analyses using the full LHC datasets at 13 TeV with a careful and less conservative estimate of experimental uncertainties.",http://arxiv.org/abs/1904.11195,https://arxiv.org/pdf/1904.11195v4,hep-ex,pdfs\1904.11195.pdf,JetHT_Run2012C,data,/JetHT/Run2012C-22Jan2013-v1/AOD,,831662,8,,,166/pb,Non-Standard Parity Violation Jets CMS,"HLT_PFJet320 trigger; 831,662 triggered events passing GoodRun-List requirements; processed 289 pb^-1 total, 166 pb^-1 with trigger fired; AOD format; CERN Open Data Portal record [21]"
1904.11195,Search for Non-Standard Sources of Parity Violation in Jets at $\sqrt s$=8 TeV with CMS Open Data,2019,JHEP12(2019)120,Christopher G. Lester; Matthias Schott,10.1007/JHEP12(2019)120,"The Standard Model violates parity, but only by mechanisms which are invisible to Large Hadron Collider (LHC) experiments (on account of the lack of initial state polarisation or spin-sensitivity in the detectors). Nonetheless, new physical processes could potentially violate parity in ways which are detectable by those same experiments. If those sources of new physics occur only at LHC energies, they are untested by direct searches. We probe the feasibility of such measurements using approximately 0.2 inverse femtobarns of data which was recorded in 2012 by the CMS collaboration and made public within the CMS Open Data initiative. In particular, we test an inclusive three-jet event selection which is primarily sensitive to non-standard parity violating effects in quark-gluon interactions. Within our measurements, no significant deviation from the Standard Model is seen and no obvious experimental limitations have been found. We discuss other ways that searches for non-standard parity violation could be performed, noting that these would be sensitive to very different sorts of models to those which our measurements constrain. We hope that our initial studies provide a valuable starting point for rigorous future analyses using the full LHC datasets at 13 TeV with a careful and less conservative estimate of experimental uncertainties.",http://arxiv.org/abs/1904.11195,https://arxiv.org/pdf/1904.11195v4,hep-ex,pdfs\1904.11195.pdf,QCD_Pt-15to3000_TuneZ2star,mc,,,,8,Pythia 6,,,Non-Standard Parity Violation Jets CMS,Inclusive QCD MC; jet pT range 50-3000 GeV; cross-section 2×10^10 pb; CT10 PDF set; Z2* tune; AODSIM format
1904.11195,Search for Non-Standard Sources of Parity Violation in Jets at $\sqrt s$=8 TeV with CMS Open Data,2019,JHEP12(2019)120,Christopher G. Lester; Matthias Schott,10.1007/JHEP12(2019)120,"The Standard Model violates parity, but only by mechanisms which are invisible to Large Hadron Collider (LHC) experiments (on account of the lack of initial state polarisation or spin-sensitivity in the detectors). Nonetheless, new physical processes could potentially violate parity in ways which are detectable by those same experiments. If those sources of new physics occur only at LHC energies, they are untested by direct searches. We probe the feasibility of such measurements using approximately 0.2 inverse femtobarns of data which was recorded in 2012 by the CMS collaboration and made public within the CMS Open Data initiative. In particular, we test an inclusive three-jet event selection which is primarily sensitive to non-standard parity violating effects in quark-gluon interactions. Within our measurements, no significant deviation from the Standard Model is seen and no obvious experimental limitations have been found. We discuss other ways that searches for non-standard parity violation could be performed, noting that these would be sensitive to very different sorts of models to those which our measurements constrain. We hope that our initial studies provide a valuable starting point for rigorous future analyses using the full LHC datasets at 13 TeV with a careful and less conservative estimate of experimental uncertainties.",http://arxiv.org/abs/1904.11195,https://arxiv.org/pdf/1904.11195v4,hep-ex,pdfs\1904.11195.pdf,QCD4Jets_Pt-400to5600_TuneZ2Star,mc,,,,8,Alpgen,,,Non-Standard Parity Violation Jets CMS,Alternative 4-jet QCD sample; pT range 400-5600 GeV; used for systematic studies; AODSIM format
1904.11195,Search for Non-Standard Sources of Parity Violation in Jets at $\sqrt s$=8 TeV with CMS Open Data,2019,JHEP12(2019)120,Christopher G. Lester; Matthias Schott,10.1007/JHEP12(2019)120,"The Standard Model violates parity, but only by mechanisms which are invisible to Large Hadron Collider (LHC) experiments (on account of the lack of initial state polarisation or spin-sensitivity in the detectors). Nonetheless, new physical processes could potentially violate parity in ways which are detectable by those same experiments. If those sources of new physics occur only at LHC energies, they are untested by direct searches. We probe the feasibility of such measurements using approximately 0.2 inverse femtobarns of data which was recorded in 2012 by the CMS collaboration and made public within the CMS Open Data initiative. In particular, we test an inclusive three-jet event selection which is primarily sensitive to non-standard parity violating effects in quark-gluon interactions. Within our measurements, no significant deviation from the Standard Model is seen and no obvious experimental limitations have been found. We discuss other ways that searches for non-standard parity violation could be performed, noting that these would be sensitive to very different sorts of models to those which our measurements constrain. We hope that our initial studies provide a valuable starting point for rigorous future analyses using the full LHC datasets at 13 TeV with a careful and less conservative estimate of experimental uncertainties.",http://arxiv.org/abs/1904.11195,https://arxiv.org/pdf/1904.11195v4,hep-ex,pdfs\1904.11195.pdf,TTJets_FullLeptMGDecays_TuneP11TeV_8TeV,mc,,,,8,MadGraph v5.1.3.30,,,Non-Standard Parity Violation Jets CMS,"tt̄ production, fully leptonic decay; cross-section 112.3 pb; interfaced with Pythia v6.4.26; Tauola for tau decays; AODSIM format"
1904.11195,Search for Non-Standard Sources of Parity Violation in Jets at $\sqrt s$=8 TeV with CMS Open Data,2019,JHEP12(2019)120,Christopher G. Lester; Matthias Schott,10.1007/JHEP12(2019)120,"The Standard Model violates parity, but only by mechanisms which are invisible to Large Hadron Collider (LHC) experiments (on account of the lack of initial state polarisation or spin-sensitivity in the detectors). Nonetheless, new physical processes could potentially violate parity in ways which are detectable by those same experiments. If those sources of new physics occur only at LHC energies, they are untested by direct searches. We probe the feasibility of such measurements using approximately 0.2 inverse femtobarns of data which was recorded in 2012 by the CMS collaboration and made public within the CMS Open Data initiative. In particular, we test an inclusive three-jet event selection which is primarily sensitive to non-standard parity violating effects in quark-gluon interactions. Within our measurements, no significant deviation from the Standard Model is seen and no obvious experimental limitations have been found. We discuss other ways that searches for non-standard parity violation could be performed, noting that these would be sensitive to very different sorts of models to those which our measurements constrain. We hope that our initial studies provide a valuable starting point for rigorous future analyses using the full LHC datasets at 13 TeV with a careful and less conservative estimate of experimental uncertainties.",http://arxiv.org/abs/1904.11195,https://arxiv.org/pdf/1904.11195v4,hep-ex,pdfs\1904.11195.pdf,TTJets_SemiLeptMGDecays_8TeV,mc,,,,8,MadGraph v5.1.3.30,,,Non-Standard Parity Violation Jets CMS,"tt̄ production, semi-leptonic decay; cross-section 107.2 pb; interfaced with Pythia v6.4.26; AODSIM format"
1904.11195,Search for Non-Standard Sources of Parity Violation in Jets at $\sqrt s$=8 TeV with CMS Open Data,2019,JHEP12(2019)120,Christopher G. Lester; Matthias Schott,10.1007/JHEP12(2019)120,"The Standard Model violates parity, but only by mechanisms which are invisible to Large Hadron Collider (LHC) experiments (on account of the lack of initial state polarisation or spin-sensitivity in the detectors). Nonetheless, new physical processes could potentially violate parity in ways which are detectable by those same experiments. If those sources of new physics occur only at LHC energies, they are untested by direct searches. We probe the feasibility of such measurements using approximately 0.2 inverse femtobarns of data which was recorded in 2012 by the CMS collaboration and made public within the CMS Open Data initiative. In particular, we test an inclusive three-jet event selection which is primarily sensitive to non-standard parity violating effects in quark-gluon interactions. Within our measurements, no significant deviation from the Standard Model is seen and no obvious experimental limitations have been found. We discuss other ways that searches for non-standard parity violation could be performed, noting that these would be sensitive to very different sorts of models to those which our measurements constrain. We hope that our initial studies provide a valuable starting point for rigorous future analyses using the full LHC datasets at 13 TeV with a careful and less conservative estimate of experimental uncertainties.",http://arxiv.org/abs/1904.11195,https://arxiv.org/pdf/1904.11195v4,hep-ex,pdfs\1904.11195.pdf,TTJets_HadronicMGDecays_TuneP11mpiHi_8TeV,mc,,,,8,MadGraph v5.1.3.30,,,Non-Standard Parity Violation Jets CMS,"tt̄ production, hadronic decay; cross-section 25.8 pb; interfaced with Pythia v6.4.26; AODSIM format"
